City_ID,City,Latitude,Longitude,Max_Temp,Humidity,Cloudy,Wind_Speed,Country,Date
0,Bud,39.447,-86.1758,37.0,77,73,6.33,US,1619057239
1,Guerrero Negro,27.9769,-114.0611,58.89,74,99,16.82,MX,1619057240
2,Nikolskoye,59.7035,30.7861,36.0,93,40,4.47,RU,1619057240
3,Lorengau,-2.0226,147.2712,86.23,69,100,6.8,PG,1619057241
4,Kaitangata,-46.2817,169.8464,59.0,80,25,3.0,NZ,1619057241
5,İskilip,40.7353,34.4739,45.3,87,46,4.18,TR,1619057241
6,Hermanus,-34.4187,19.2345,66.99,86,83,8.99,ZA,1619057242
7,Pontes e Lacerda,-15.2261,-59.3353,75.6,75,68,3.0,BR,1619057242
8,Ikom,5.9667,8.7063,73.81,96,100,1.41,NG,1619057165
9,San Quintín,30.4833,-115.95,58.24,67,18,14.05,MX,1619057243
10,Thompson,55.7435,-97.8558,53.6,30,40,6.91,CA,1619057244
11,Qaanaaq,77.484,-69.3632,8.31,72,80,8.23,GL,1619057244
12,Sant Just Desvern,41.386,2.0757,54.0,82,75,4.61,ES,1619057244
13,Alofi,-19.0595,-169.9187,86.0,70,75,10.36,NU,1619057245
14,Chigorodó,7.6664,-76.6811,75.13,96,59,2.15,CO,1619057245
15,Mutsu,41.2894,141.2169,57.0,41,20,12.66,JP,1619057246
16,Touros,-5.1989,-35.4608,78.8,89,40,2.3,BR,1619057246
17,Dingle,10.9995,122.6711,89.46,54,100,14.56,PH,1619057246
18,Pacific Grove,36.6177,-121.9166,52.0,90,72,7.09,US,1619056949
19,Richards Bay,-28.783,32.0377,66.78,89,65,7.83,ZA,1619057247
20,Kapaa,22.0752,-159.319,77.0,83,90,5.75,US,1619057247
21,Butaritari,3.0707,172.7902,81.91,78,100,15.75,KI,1619057248
22,Albany,42.6001,-73.9662,35.01,60,47,1.99,US,1619057248
23,Barrow,71.2906,-156.7887,23.0,86,1,8.05,US,1619057102
24,Ushuaia,-54.8,-68.3,44.6,57,0,8.05,AR,1619056986
25,Abéché,13.8292,20.8324,81.63,10,76,8.39,TD,1619057249
26,Salym,60.0625,71.4789,31.35,69,9,7.45,RU,1619057249
27,Busselton,-33.65,115.3333,62.01,79,100,5.99,AU,1619057250
28,Provideniya,64.3833,-173.3,33.8,55,0,6.71,RU,1619057250
29,Charlestown,-32.95,151.6667,68.0,52,0,4.0,AU,1619057071
30,George Town,5.4112,100.3354,86.0,83,20,3.44,MY,1619057251
31,Rikitea,-23.1203,-134.9692,77.05,76,100,11.7,PF,1619057251
